"No.","Time","Source","Destination","Protocol","Length","Info"
"65","0.180046","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=8432 Ack=21739 Win=1025 Len=0"
"66","0.184031","159.180.236.246","192.168.1.12","TLSv1.2","169","Application Data"
"67","0.184031","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=8547 Ack=24587 Win=1025 Len=0"
"68","0.184031","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"69","0.184064","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=26938 Ack=8619 Win=8211 Len=0"
"70","0.185875","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=8619 Ack=26733 Win=1025 Len=0"
"71","0.185875","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"72","0.204779","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"73","0.204779","159.180.236.246","192.168.1.12","TLSv1.2","337","Application Data"
"74","0.204833","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=26938 Ack=10349 Win=8212 Len=0"
"75","0.205070","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"76","0.210718","159.180.236.246","192.168.1.12","TLSv1.2","523","Application Data"
"77","0.213693","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"78","0.221482","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"79","0.221559","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"80","0.221597","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"81","0.221638","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"82","0.223056","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=10818 Ack=27191 Win=1025 Len=0"
"83","0.223159","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"84","0.228530","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"85","0.230173","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=10818 Ack=30039 Win=1025 Len=0"
"86","0.230173","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=10818 Ack=32184 Win=1025 Len=0"
"87","0.230173","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
